;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
99;2213858636;-4293845.2383387545;971133.8687455102;2213858636; 86 ;tram_stop;144.9792295;-37.805949;POINT (971133.8687455102 -4293845.238338755);3018.977470471873;2610.3362479601055;{3018.977470471873,2610.3362479601055};0
100;2213858637;-4293807.94435818;970972.3698524903;2213858637; 86 ;tram_stop;144.9773762;-37.8057424;POINT (970972.3698524903 -4293807.94435818);2857.478577451897;2573.04226738587;{2857.478577451897,2573.04226738587};0
101;2244717251;-4294198.033885122;970789.4070737723;2244717251; 11 12 109 ;tram_stop;144.9757024;-37.8093667;POINT (970789.4070737723 -4294198.033885122);2674.515798733919;2963.13179432787;{2674.515798733919,2963.13179432787};0
102;2244717253;-4294233.468750434;970778.187845541;2244717253; 11 12 109 ;tram_stop;144.9756111;-37.8096917;POINT (970778.187845541 -4294233.468750434);2663.2965705026872;2998.5666596395895;{2663.2965705026872,2998.5666596395895};0
103;2247263805;-4294038.791330733;969968.1784125395;2247263805; 200 207 ;bus_stop;144.966308;-37.808587;POINT (969968.1784125395 -4294038.791330733);1853.2871375011746;2803.8892399389297;{1853.2871375011746,2803.8892399389297};1
104;2266562707;-4294084.327767932;969001.8140982512;2266562707; 58 ;tram_stop;144.9554825;-37.8097475;POINT (969001.8140982512 -4294084.327767932);886.922823212808;2849.4256771374494;{886.922823212808,2849.4256771374494};0
105;2279008293;-4294246.688935031;969309.7004268735;2279008293; 12 30 35 ;tram_stop;144.9591055;-37.8109563;POINT (969309.7004268735 -4294246.688935031);1194.8091518351575;3011.7868442367762;{1194.8091518351575,3011.7868442367762};0
106;2279008490;-4294072.314288404;969946.7544542933;2279008490; 12 30 35 ;tram_stop;144.9661;-37.8089029;POINT (969946.7544542933 -4294072.314288404);1831.8631792549277;2837.412197609432;{1831.8631792549277,2837.412197609432};0
107;2279008493;-4294011.521797356;970172.4933561033;2279008493; 12 30 35 ;tram_stop;144.9685794;-37.8081841;POINT (970172.4933561033 -4294011.521797356);2057.6020810649497;2776.619706561789;{2057.6020810649497,2776.619706561789};0
108;2279008494;-4294004.731814617;970209.3768945031;2279008494; 12 30 35 ;tram_stop;144.9689876;-37.8080947;POINT (970209.3768945031 -4294004.731814617);2094.4856194647728;2769.8297238228843;{2094.4856194647728,2769.8297238228843};0
109;2279008792;-4293967.367356945;970336.4506349191;2279008792; 12 30 35 ;tram_stop;144.9703802;-37.807662;POINT (970336.4506349191 -4293967.367356945);2221.5593598807463;2732.4652661504224;{2221.5593598807463,2732.4652661504224};0
110;2349048941;-4292896.418536594;970764.2838202053;2349048941; 200 207 ;bus_stop;144.974138;-37.79777;POINT (970764.2838202053 -4292896.418536594);2649.392545166891;1661.5164457997307;{2649.392545166891,1661.5164457997307};1
